reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
3bea0166-b6f6-4a66-bf20-71fe2e2ac847,Megan Strickland,https://play-lh.googleusercontent.com/a-/ALV-UjWhgoCUeEj6KJ0i4rLO2Q9id_JxSY3Lgo1LIgfxO5q1gL99z1w,"I want to love bumble. But 24 hours after a match to connect?! Some of us don't live in our phones but still want to connect with people. Flawed concept. Don't stop people from connecting after they have made a match. And the app does not always respond. Of course your reply is ""spend money"" extend for 24 more hours when again a person won't get online and thus renders this useless. You don't seem to care about connecting people. You just want money.",2,3,5.368.0,2024-05-11 05:09:20,We appreciate you sharing your feedback with us. We are always looking for ways to improve our members' experience on the app so we will make sure to pass your input along to our Product Team.,2024-05-11 07:56:50,5.368.0
d2039639-dbc9-40dd-8d3c-0214de1d6f3c,Aamin Gadkari,https://play-lh.googleusercontent.com/a-/ALV-UjXD0wytqynFtIXaEpAroI0TzM8P5et3KXWBRayrfqNsml0sin0E,Bad,3,3,5.368.0,2024-05-11 05:08:51,We’re so sorry to hear you haven’t had a great experience. We’d love to learn more about what you think might make your experience on Bumble better. Please send us a message at bumble.com/contact. We're all ears. 💛,2024-05-11 07:56:20,5.368.0
1745dcb4-5ed6-4186-a879-28d7a97a830e,Denisse Cabello Cabrera,https://play-lh.googleusercontent.com/a/ACg8ocIxEj73E9fCSRSX4mAKrdyTM4DbiOZz2vxDS4XGNRAAFEobETE=mo,Bumble... Why you are trying to make me pay for a subscription by showing me the worst of the worst... Jesus,1,15,,2024-05-11 04:42:42,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-05-11 07:57:20,
c19a1a21-a142-404a-bcf3-03554f446a3e,Loki Springer,https://play-lh.googleusercontent.com/a-/ALV-UjX_jo3mUwh_6pfCAHP1gCnj9Z23w1QS7sjns5thJYRFJ8AO50kR,Why do you guys turn off comments when a bumble ad comes up? Worried about the hate comment calling your company out that's its only use for hookups and scammers.,1,23,,2024-05-11 04:22:15,"We take fake profiles seriously on our platform and have a team dedicated to investigating suspicious accounts. If you’re ever unsure about a profile, please report them in the app and we'll investigate right away!",2024-05-11 07:57:49,
377e6621-a9e0-4605-844f-8fb875ca6728,Ranvir Singh,https://play-lh.googleusercontent.com/a/ACg8ocIsuLiA_jvAwvOEFSxAHPme1AxVsRMKUID--z3Nx-0Id9uSWQ=mo,I am 18 year plus still I can't login what is this 🤦🏻‍♂️ app shows you are not 18 years,1,2,5.368.0,2024-05-11 04:18:45,Don't worry—we can totally help you with this! Please message our Support Team on Facebook or Twitter (@BumbleSupport) or at bumble.com/contact and we'll have a second look.,2024-05-11 07:58:19,5.368.0
4567210f-fd11-473e-90d9-4a36f617d1f9,suchitra thakur,https://play-lh.googleusercontent.com/a-/ALV-UjVDSswwE0jyMi9z4UO3kgjMfhbubxhHuMUexRPWE_0Ik4GJdCDHXg,Verifying picture is extremely difficult.. I tried Verifying multiple times. It doesn't get verified. Not at all user friendly,1,4,5.368.0,2024-05-11 03:59:47,Oh no! Our Support Team would be more than happy to help assist you with verifying your profile. Send us a quick message at bumble.com/contact or on Facebook or Twitter (@BumbleSupport) and we'll get you up and buzzin' in no time!,2024-05-11 07:58:21,5.368.0
c8c1749d-1d43-43aa-aa2d-87ffc31db5b5,Diogo Silva,https://play-lh.googleusercontent.com/a-/ALV-UjXCmzbV3Zgc5Ok9XMWsalvNuH7G7cDiCJkbL46uXXWNFPGWQGY,So this ... app creator think we are going to date virtualy and have a concierge!!! To go in dates for us.... kill society in every front. Quick unistalll,1,8,5.125.2,2024-05-11 03:58:56,,,5.125.2
a2aa39bd-9d88-4bc7-ba19-ba81fcca329e,Michael Nadolny,https://play-lh.googleusercontent.com/a-/ALV-UjUaxwGtgBvpvQ_dARYjixuEmgaNwmaY4B6Qy3_lC6DSX13R4lhzFw,Number of likes is excruciatingly small and they don't appear to ever refresh. Company delivers cringe and fake response.,1,8,5.368.0,2024-05-11 03:18:04,"We're so sorry about your experience with us. We absolutely do not tolerate fake profiles on Bumble and would like to look into this. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can look into this.",2024-05-11 07:58:49,5.368.0
7ffeadff-fcf7-488b-a9d1-d4d5525f3f8f,Bro Walton Bro Walton,https://play-lh.googleusercontent.com/a/ACg8ocJWNeJ45PFrEvHX1QZ1XxPaIsvxczsJZLtxr94qy7uUcZoF4Q=mo,good,5,0,,2024-05-11 03:11:17,We appreciate your kind words. 🙌,2024-05-11 07:56:19,
b007ab31-8372-4ea4-98e3-83df76077f2f,Kienz91,https://play-lh.googleusercontent.com/a-/ALV-UjXN_qVXhuebKdPFb4pnHVM1raZP1h-IVCq_ZBDGkKIJAJK1X1JT,Why is there no trial? How do i know if this app can be useful or no???,1,3,5.368.0,2024-05-11 03:08:47,"Thank you for your message. For further assistance, please get in touch with our support team at: bumble.com/contact. Thank you. 💛",2024-05-11 07:55:53,5.368.0
